      | Z | E |  F | S |  U |  # |  ( |   ) |  , | add | alter | char | drop | float | id | int | num | table | varchar |
    0 |   | 1 |    | 2 |    |    |    |     |    |     |     3 |      |      |       |    |     |     |       |         |
    1 |   |   |    |   |    | -1 |    |     |    |     |       |      |      |       |    |     |     |       |         |
    2 |   |   |    |   |    |  0 |    |     |    |     |       |      |      |       |    |     |     |       |         |
    3 |   |   |    |   |    |    |    |     |    |     |       |      |      |       |    |     |     |     4 |         |
    4 |   |   |    |   |    |    |    |     |    |     |       |      |      |       |  5 |     |     |       |         |
    5 |   |   |    |   |    |    |    |     |    |   6 |       |      |    7 |       |    |     |     |       |         |
    6 |   |   |    |   |    |    |  8 |     |    |     |       |      |      |       |    |     |     |       |         |
    7 |   |   |    |   |    |    |  9 |     |    |     |       |      |      |       |    |     |     |       |         |
    8 |   |   | 10 |   |    |    |    |     |    |     |       |      |      |       | 11 |     |     |       |         |
    9 |   |   |    |   | 12 |    |    |     |    |     |       |      |      |       | 13 |     |     |       |         |
   10 |   |   |    |   |    |    |    |  14 |    |     |       |      |      |       |    |     |     |       |         |
   11 |   |   |    |   |    |    |    |     |    |     |       |   15 |      |    16 |    |  17 |     |       |      18 |
   12 |   |   |    |   |    |    |    |  19 |    |     |       |      |      |       |    |     |     |       |         |
   13 |   |   |    |   |    |    |    | -15 | 20 |     |       |      |      |       |    |     |     |       |         |
   14 |   |   |    |   |    | -3 |    |     |    |     |       |      |      |       |    |     |     |       |         |
   15 |   |   |    |   |    |    | 21 |  -7 | 22 |     |       |      |      |       |    |     |     |       |         |
   16 |   |   |    |   |    |    |    | -13 | 23 |     |       |      |      |       |    |     |     |       |         |
   17 |   |   |    |   |    |    |    |  -9 | 24 |     |       |      |      |       |    |     |     |       |         |
   18 |   |   |    |   |    |    | 25 |     |    |     |       |      |      |       |    |     |     |       |         |
   19 |   |   |    |   |    | -2 |    |     |    |     |       |      |      |       |    |     |     |       |         |
   20 |   |   |    |   | 26 |    |    |     |    |     |       |      |      |       | 13 |     |     |       |         |
   21 |   |   |    |   |    |    |    |     |    |     |       |      |      |       |    |     |  27 |       |         |
   22 |   |   | 28 |   |    |    |    |     |    |     |       |      |      |       | 11 |     |     |       |         |
   23 |   |   | 29 |   |    |    |    |     |    |     |       |      |      |       | 11 |     |     |       |         |
   24 |   |   | 30 |   |    |    |    |     |    |     |       |      |      |       | 11 |     |     |       |         |
   25 |   |   |    |   |    |    |    |     |    |     |       |      |      |       |    |     |  31 |       |         |
   26 |   |   |    |   |    |    |    | -14 |    |     |       |      |      |       |    |     |     |       |         |
   27 |   |   |    |   |    |    |    |  32 |    |     |       |      |      |       |    |     |     |       |         |
   28 |   |   |    |   |    |    |    |  -6 |    |     |       |      |      |       |    |     |     |       |         |
   29 |   |   |    |   |    |    |    | -12 |    |     |       |      |      |       |    |     |     |       |         |
   30 |   |   |    |   |    |    |    |  -8 |    |     |       |      |      |       |    |     |     |       |         |
   31 |   |   |    |   |    |    |    |  33 |    |     |       |      |      |       |    |     |     |       |         |
   32 |   |   |    |   |    |    |    |  -5 | 34 |     |       |      |      |       |    |     |     |       |         |
   33 |   |   |    |   |    |    |    | -11 | 35 |     |       |      |      |       |    |     |     |       |         |
   34 |   |   | 36 |   |    |    |    |     |    |     |       |      |      |       | 11 |     |     |       |         |
   35 |   |   | 37 |   |    |    |    |     |    |     |       |      |      |       | 11 |     |     |       |         |
   36 |   |   |    |   |    |    |    |  -4 |    |     |       |      |      |       |    |     |     |       |         |
   37 |   |   |    |   |    |    |    | -10 |    |     |       |      |      |       |    |     |     |       |         |
