      | Z | C |  O | T |  Y |  # |  ( |   ) |  , | asc | char | create | desc | id | index | int | num | on | table | varchar |
    0 |   | 1 |    | 2 |    |    |    |     |    |     |      |      3 |      |    |       |     |     |    |       |         |
    1 |   |   |    |   |    |  0 |    |     |    |     |      |        |      |    |       |     |     |    |       |         |
    2 |   |   |    |   |    | -1 |    |     |    |     |      |        |      |    |       |     |     |    |       |         |
    3 |   |   |    |   |    |    |    |     |    |     |      |        |      |    |     4 |     |     |    |     5 |         |
    4 |   |   |    |   |    |    |    |     |    |     |      |        |      |  6 |       |     |     |    |       |         |
    5 |   |   |    |   |    |    |    |     |    |     |      |        |      |  7 |       |     |     |    |       |         |
    6 |   |   |    |   |    |    |    |     |    |     |      |        |      |    |       |     |     |  8 |       |         |
    7 |   |   |    |   |    |    |  9 |     |    |     |      |        |      |    |       |     |     |    |       |         |
    8 |   |   |    |   |    |    |    |     |    |     |      |        |      | 10 |       |     |     |    |       |         |
    9 |   |   |    |   | 11 |    |    |     |    |     |      |        |      | 12 |       |     |     |    |       |         |
   10 |   |   |    |   |    |    | 13 |     |    |     |      |        |      |    |       |     |     |    |       |         |
   11 |   |   |    |   |    |    |    |  14 |    |     |      |        |      |    |       |     |     |    |       |         |
   12 |   |   |    |   |    |    |    |     |    |     |   15 |        |      |    |       |  16 |     |    |       |      17 |
   13 |   |   | 18 |   |    |    |    |     |    |     |      |        |      | 19 |       |     |     |    |       |         |
   14 |   |   |    |   |    | -2 |    |     |    |     |      |        |      |    |       |     |     |    |       |         |
   15 |   |   |    |   |    |    | 20 |  -5 | 21 |     |      |        |      |    |       |     |     |    |       |         |
   16 |   |   |    |   |    |    |    |  -9 | 22 |     |      |        |      |    |       |     |     |    |       |         |
   17 |   |   |    |   |    |    | 23 |     |    |     |      |        |      |    |       |     |     |    |       |         |
   18 |   |   |    |   |    |    |    |  24 |    |     |      |        |      |    |       |     |     |    |       |         |
   19 |   |   |    |   |    |    |    |     |    |  25 |      |        |   26 |    |       |     |     |    |       |         |
   20 |   |   |    |   |    |    |    |     |    |     |      |        |      |    |       |     |  27 |    |       |         |
   21 |   |   |    |   | 28 |    |    |     |    |     |      |        |      | 12 |       |     |     |    |       |         |
   22 |   |   |    |   | 29 |    |    |     |    |     |      |        |      | 12 |       |     |     |    |       |         |
   23 |   |   |    |   |    |    |    |     |    |     |      |        |      |    |       |     |  30 |    |       |         |
   24 |   |   |    |   |    | -3 |    |     |    |     |      |        |      |    |       |     |     |    |       |         |
   25 |   |   |    |   |    |    |    | -12 |    |     |      |        |      |    |       |     |     |    |       |         |
   26 |   |   |    |   |    |    |    | -13 |    |     |      |        |      |    |       |     |     |    |       |         |
   27 |   |   |    |   |    |    |    |  31 |    |     |      |        |      |    |       |     |     |    |       |         |
   28 |   |   |    |   |    |    |    |  -4 |    |     |      |        |      |    |       |     |     |    |       |         |
   29 |   |   |    |   |    |    |    |  -8 |    |     |      |        |      |    |       |     |     |    |       |         |
   30 |   |   |    |   |    |    |    |  32 |    |     |      |        |      |    |       |     |     |    |       |         |
   31 |   |   |    |   |    |    |    |  -7 | 33 |     |      |        |      |    |       |     |     |    |       |         |
   32 |   |   |    |   |    |    |    | -11 | 34 |     |      |        |      |    |       |     |     |    |       |         |
   33 |   |   |    |   | 35 |    |    |     |    |     |      |        |      | 12 |       |     |     |    |       |         |
   34 |   |   |    |   | 36 |    |    |     |    |     |      |        |      | 12 |       |     |     |    |       |         |
   35 |   |   |    |   |    |    |    |  -6 |    |     |      |        |      |    |       |     |     |    |       |         |
   36 |   |   |    |   |    |    |    | -10 |    |     |      |        |      |    |       |     |     |    |       |         |
