      | Z |  B | C |  N |  O | T |  W |  Y |   # |  ' |  ( |   ) |  * |  , | and | as | asc | char | create | desc | from | id | index | int | num | on | or |  r | select | table | varchar | view | where |
    0 |   |    | 1 |    |    | 2 |    |    |     |    |    |     |    |    |     |    |     |      |      3 |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
    1 |   |    |   |    |    |   |    |    |   0 |    |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
    2 |   |    |   |    |    |   |    |    |  -1 |    |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
    3 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |    |     4 |     |     |    |    |    |        |     5 |         |    6 |       |
    4 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |  7 |       |     |     |    |    |    |        |       |         |      |       |
    5 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |  8 |       |     |     |    |    |    |        |       |         |      |       |
    6 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |  9 |       |     |     |    |    |    |        |       |         |      |       |
    7 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     | 10 |    |    |        |       |         |      |       |
    8 |   |    |   |    |    |   |    |    |     |    | 11 |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
    9 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     | 12 |     |      |        |      |      |    |       |     |     |    |    |    |        |       |         |      |       |
   10 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      | 13 |       |     |     |    |    |    |        |       |         |      |       |
   11 |   |    |   |    |    |   |    | 14 |     |    |    |     |    |    |     |    |     |      |        |      |      | 15 |       |     |     |    |    |    |        |       |         |      |       |
   12 |   |    |   |    |    |   |    |    |     |    |    |     |    |    |     |    |     |      |        |      |      |    |       |     |     |    |    |    |     16 |       |         |      |       |
