      | Z | E | S |  W |   # |  ' | ( |   ) | and | delete | from | id | num | or |  r | where |
    0 |   | 1 | 2 |    |     |    |   |     |     |      3 |      |    |     |    |    |       |
    1 |   |   |   |    |  -1 |    |   |     |     |        |      |    |     |    |    |       |
    2 |   |   |   |    |   0 |    |   |     |     |        |      |    |     |    |    |       |
    3 |   |   |   |    |     |    |   |     |     |        |    4 |    |     |    |    |       |
    4 |   |   |   |    |     |    |   |     |     |        |      |  5 |     |    |    |       |
    5 |   |   |   |    |  -3 |    |   |     |     |        |      |    |     |    |    |     6 |
    6 |   |   |   |  8 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
    7 |   |   |   | 10 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
    8 |   |   |   |    |  -2 |    |   |     |     |        |      |    |     |    |    |       |
    9 |   |   |   |    |     |    |   |     |     |        |      |    |     |    | 11 |       |
   10 |   |   |   |    |     |    |   |  12 |     |        |      |    |     |    |    |       |
   11 |   |   |   |    |     | 13 |   |     |     |        |      |    |  14 |    |    |       |
   12 |   |   |   |    |  -4 |    |   |  -4 |  15 |        |      |    |     | 16 |    |       |
   13 |   |   |   |    |     |    |   |     |     |        |      | 17 |     |    |    |       |
   14 |   |   |   |    | -12 |    |   | -12 |  18 |        |      |    |     | 19 |    |       |
   15 |   |   |   | 20 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
   16 |   |   |   | 21 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
   17 |   |   |   |    |     | 22 |   |     |     |        |      |    |     |    |    |       |
   18 |   |   |   | 23 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
   19 |   |   |   | 24 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
   20 |   |   |   |    |  -5 |    |   |  -5 |     |        |      |    |     |    |    |       |
   21 |   |   |   |    |  -6 |    |   |  -6 |     |        |      |    |     |    |    |       |
   22 |   |   |   |    | -11 |    |   | -11 |  25 |        |      |    |     | 26 |    |       |
   23 |   |   |   |    |  -9 |    |   |  -9 |     |        |      |    |     |    |    |       |
   24 |   |   |   |    | -10 |    |   | -10 |     |        |      |    |     |    |    |       |
   25 |   |   |   | 27 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
   26 |   |   |   | 28 |     |    | 7 |     |     |        |      |  9 |     |    |    |       |
   27 |   |   |   |    |  -7 |    |   |  -7 |     |        |      |    |     |    |    |       |
   28 |   |   |   |    |  -8 |    |   |  -8 |     |        |      |    |     |    |    |       |
