      | Z | E | S |  # | drop | id | index | table | view |
    0 |   | 2 | 3 |    |    1 |    |       |       |      |
    1 |   |   |   |    |      |    |     4 |     5 |    6 |
    2 |   |   |   | -1 |      |    |       |       |      |
    3 |   |   |   |  0 |      |    |       |       |      |
    4 |   |   |   |    |      |  7 |       |       |      |
    5 |   |   |   |    |      |  8 |       |       |      |
    6 |   |   |   |    |      |  9 |       |       |      |
    7 |   |   |   | -3 |      |    |       |       |      |
    8 |   |   |   | -2 |      |    |       |       |      |
    9 |   |   |   | -4 |      |    |       |       |      |
