      | Z |  A |  B | E | S |  U |  # |  , | from | grant | id | on | revoke | to |
    0 |   |    |    | 2 | 3 |    |    |    |      |     1 |    |    |      4 |    |
    1 |   |  5 |    |   |   |    |    |    |      |       |  6 |    |        |    |
    2 |   |    |    |   |   |    | -1 |    |      |       |    |    |        |    |
    3 |   |    |    |   |   |    |  0 |    |      |       |    |    |        |    |
    4 |   |  7 |    |   |   |    |    |    |      |       |  6 |    |        |    |
    5 |   |    |  8 |   |   |    |    |    |   -9 |       |    |  9 |        | -9 |
    6 |   |    |    |   |   |    |    | 10 |   -5 |       |    | -5 |        | -5 |
    7 |   |    | 11 |   |   |    |    |    |   -9 |       |    |  9 |        | -9 |
    8 |   |    |    |   |   |    |    |    |      |       |    |    |        | 12 |
    9 |   |    |    |   |   |    |    |    |      |       | 13 |    |        |    |
   10 |   | 14 |    |   |   |    |    |    |      |       |  6 |    |        |    |
   11 |   |    |    |   |   |    |    |    |   15 |       |    |    |        |    |
   12 |   |    |    |   |   | 17 |    |    |      |       | 16 |    |        |    |
   13 |   |    |    |   |   |    |    |    |   -8 |       |    |    |        | -8 |
   14 |   |    |    |   |   |    |    |    |   -4 |       |    | -4 |        | -4 |
   15 |   |    |    |   |   | 18 |    |    |      |       | 16 |    |        |    |
   16 |   |    |    |   |   |    | -7 | 19 |      |       |    |    |        |    |
   17 |   |    |    |   |   |    | -2 |    |      |       |    |    |        |    |
   18 |   |    |    |   |   |    | -3 |    |      |       |    |    |        |    |
   19 |   |    |    |   |   | 20 |    |    |      |       | 16 |    |        |    |
   20 |   |    |    |   |   |    | -6 |    |      |       |    |    |        |    |
