      | Z | E |  F |  G | S |  # |  ' |  ( |  ) |  , | id | insert | into | num | values |
    0 |   | 1 |    |    | 2 |    |    |    |    |    |    |      3 |      |     |        |
    1 |   |   |    |    |   | -1 |    |    |    |    |    |        |      |     |        |
    2 |   |   |    |    |   |  0 |    |    |    |    |    |        |      |     |        |
    3 |   |   |    |    |   |    |    |    |    |    |    |        |    4 |     |        |
    4 |   |   |    |    |   |    |    |    |    |    |  5 |        |      |     |        |
    5 |   |   |    |    |   |    |    |  6 |    |    |    |        |      |     |      7 |
    6 |   |   |    |  8 |   |    |    |    |    |    |  9 |        |      |     |        |
    7 |   |   |    |    |   |    |    | 10 |    |    |    |        |      |     |        |
    8 |   |   |    |    |   |    |    |    | 11 |    |    |        |      |     |        |
    9 |   |   |    |    |   |    |    |    | -5 | 12 |    |        |      |     |        |
   10 |   |   | 14 |    |   |    | 13 |    |    |    |    |        |      |     |        |
   11 |   |   |    |    |   |    |    |    |    |    |    |        |      |     |     15 |
   12 |   |   |    | 16 |   |    |    |    |    |    |  9 |        |      |     |        |
   13 |   |   |    |    |   |    |    |    |    |    | 17 |        |      |  18 |        |
   14 |   |   |    |    |   |    |    |    | 19 |    |    |        |      |     |        |
   15 |   |   |    |    |   |    |    | 20 |    |    |    |        |      |     |        |
   16 |   |   |    |    |   |    |    |    | -4 |    |    |        |      |     |        |
   17 |   |   |    |    |   |    | 21 |    |    |    |    |        |      |     |        |
   18 |   |   |    |    |   |    | 22 |    |    |    |    |        |      |     |        |
   19 |   |   |    |    |   | -2 |    |    |    |    |    |        |      |     |        |
   20 |   |   | 23 |    |   |    | 13 |    |    |    |    |        |      |     |        |
   21 |   |   |    |    |   |    |    |    | -8 | 24 |    |        |      |     |        |
   22 |   |   |    |    |   |    |    |    | -9 | 25 |    |        |      |     |        |
   23 |   |   |    |    |   |    |    |    | 26 |    |    |        |      |     |        |
   24 |   |   | 27 |    |   |    | 13 |    |    |    |    |        |      |     |        |
   25 |   |   | 28 |    |   |    | 13 |    |    |    |    |        |      |     |        |
   26 |   |   |    |    |   | -3 |    |    |    |    |    |        |      |     |        |
   27 |   |   |    |    |   |    |    |    | -6 |    |    |        |      |     |        |
   28 |   |   |    |    |   |    |    |    | -7 |    |    |        |      |     |        |
