      | Z | A |  B |  E |  N | S |  W |   # |  ' |  ( |   ) | * |  , |  . | and | from | id | num | or |  r | select | where |
    0 |   |   |    |  1 |    | 2 |    |     |    |    |     |   |    |    |     |      |    |     |    |    |      3 |       |
    1 |   |   |    |    |    |   |    |  -1 |    |    |     |   |    |    |     |      |    |     |    |    |        |       |
    2 |   |   |    |    |    |   |    |   0 |    |    |     |   |    |    |     |      |    |     |    |    |        |       |
    3 |   | 4 |  5 |    |    |   |    |     |    |    |     | 6 |    |    |     |      |  7 |     |    |    |        |       |
    4 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |    8 |    |     |    |    |        |       |
    5 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |   -5 |    |     |    |    |        |       |
    6 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |   -4 |    |     |    |    |        |       |
    7 |   |   |    |    |    |   |    |     |    |    |     |   |  9 | 10 |     |   -8 |    |     |    |    |        |       |
    8 |   |   |    |    | 11 |   |    |     |    |    |     |   |    |    |     |      | 12 |     |    |    |        |       |
    9 |   |   | 13 |    |    |   |    |     |    |    |     |   |    |    |     |      |  7 |     |    |    |        |       |
   10 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |      | 14 |     |    |    |        |       |
   11 |   |   |    |    |    |   |    |  -2 |    |    |  -2 |   |    |    |     |      |    |     |    |    |        |    15 |
   12 |   |   |    |    |    |   |    | -10 |    |    | -10 |   | 16 |    |     |      |    |     |    |    |        |   -10 |
   13 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |   -6 |    |     |    |    |        |       |
   14 |   |   |    |    |    |   |    |     |    |    |     |   | 17 |    |     |   -9 |    |     |    |    |        |       |
   15 |   |   |    |    |    |   | 19 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   16 |   |   |    |    | 21 |   |    |     |    |    |     |   |    |    |     |      | 12 |     |    |    |        |       |
   17 |   |   | 22 |    |    |   |    |     |    |    |     |   |    |    |     |      |  7 |     |    |    |        |       |
   18 |   |   |    | 23 |    |   | 24 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |      3 |       |
   19 |   |   |    |    |    |   |    |  -3 |    |    |  -3 |   |    |    |     |      |    |     |    |    |        |       |
   20 |   |   |    |    |    |   |    |     |    |    |     |   |    | 25 |     |      |    |     |    | 26 |        |       |
   21 |   |   |    |    |    |   |    | -11 |    |    | -11 |   |    |    |     |      |    |     |    |    |        |   -11 |
   22 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |   -7 |    |     |    |    |        |       |
   23 |   |   |    |    |    |   |    |     |    |    |  27 |   |    |    |     |      |    |     |    |    |        |       |
   24 |   |   |    |    |    |   |    |     |    |    |  28 |   |    |    |     |      |    |     |    |    |        |       |
   25 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |      | 29 |     |    |    |        |       |
   26 |   |   |    |    |    |   |    |     | 30 |    |     |   |    |    |     |      | 31 |  32 |    |    |        |       |
   27 |   |   |    |    |    |   |    | -13 |    |    | -13 |   |    |    |     |      |    |     |    |    |        |       |
   28 |   |   |    |    |    |   |    | -12 |    |    | -12 |   |    |    |  33 |      |    |     | 34 |    |        |       |
   29 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |      |    |     |    | 35 |        |       |
   30 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |      | 36 |     |    |    |        |       |
   31 |   |   |    |    |    |   |    | -30 |    |    | -30 |   |    |    |  37 |      |    |     | 38 |    |        |       |
   32 |   |   |    |    |    |   |    | -27 |    |    | -27 |   |    |    |  39 |      |    |     | 40 |    |        |       |
   33 |   |   |    |    |    |   | 41 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   34 |   |   |    |    |    |   | 42 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   35 |   |   |    |    |    |   |    |     | 43 |    |     |   |    |    |     |      | 44 |  45 |    |    |        |       |
   36 |   |   |    |    |    |   |    |     | 46 |    |     |   |    |    |     |      |    |     |    |    |        |       |
   37 |   |   |    |    |    |   | 47 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   38 |   |   |    |    |    |   | 48 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   39 |   |   |    |    |    |   | 49 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   40 |   |   |    |    |    |   | 50 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   41 |   |   |    |    |    |   |    | -14 |    |    | -14 |   |    |    |     |      |    |     |    |    |        |       |
   42 |   |   |    |    |    |   |    | -15 |    |    | -15 |   |    |    |     |      |    |     |    |    |        |       |
   43 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |      | 51 |     |    |    |        |       |
   44 |   |   |    |    |    |   |    |     |    |    |     |   |    | 52 |     |      |    |     |    |    |        |       |
   45 |   |   |    |    |    |   |    | -28 |    |    | -28 |   |    |    |  53 |      |    |     | 54 |    |        |       |
   46 |   |   |    |    |    |   |    | -25 |    |    | -25 |   |    |    |  55 |      |    |     | 56 |    |        |       |
   47 |   |   |    |    |    |   |    | -31 |    |    | -31 |   |    |    |     |      |    |     |    |    |        |       |
   48 |   |   |    |    |    |   |    | -32 |    |    | -32 |   |    |    |     |      |    |     |    |    |        |       |
   49 |   |   |    |    |    |   |    | -20 |    |    | -20 |   |    |    |     |      |    |     |    |    |        |       |
   50 |   |   |    |    |    |   |    | -22 |    |    | -22 |   |    |    |     |      |    |     |    |    |        |       |
   51 |   |   |    |    |    |   |    |     | 57 |    |     |   |    |    |     |      |    |     |    |    |        |       |
   52 |   |   |    |    |    |   |    |     |    |    |     |   |    |    |     |      | 58 |     |    |    |        |       |
   53 |   |   |    |    |    |   | 59 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   54 |   |   |    |    |    |   | 60 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   55 |   |   |    |    |    |   | 61 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   56 |   |   |    |    |    |   | 62 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   57 |   |   |    |    |    |   |    | -26 |    |    | -26 |   |    |    |  63 |      |    |     | 64 |    |        |       |
   58 |   |   |    |    |    |   |    | -29 |    |    | -29 |   |    |    |  65 |      |    |     |    |    |        |       |
   59 |   |   |    |    |    |   |    | -21 |    |    | -21 |   |    |    |     |      |    |     |    |    |        |       |
   60 |   |   |    |    |    |   |    | -23 |    |    | -23 |   |    |    |     |      |    |     |    |    |        |       |
   61 |   |   |    |    |    |   |    | -16 |    |    | -16 |   |    |    |     |      |    |     |    |    |        |       |
   62 |   |   |    |    |    |   |    | -18 |    |    | -18 |   |    |    |     |      |    |     |    |    |        |       |
   63 |   |   |    |    |    |   | 66 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   64 |   |   |    |    |    |   | 67 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   65 |   |   |    |    |    |   | 68 |     |    | 18 |     |   |    |    |     |      | 20 |     |    |    |        |       |
   66 |   |   |    |    |    |   |    | -17 |    |    | -17 |   |    |    |     |      |    |     |    |    |        |       |
   67 |   |   |    |    |    |   |    | -19 |    |    | -19 |   |    |    |     |      |    |     |    |    |        |       |
   68 |   |   |    |    |    |   |    | -24 |    |    | -24 |   |    |    |     |      |    |     |    |    |        |       |
