      | Z |  F | S |  W |   # |  ' | ( |   ) |  , | and | id | num | or |  r | set | update | where |
    0 |   |    | 1 |    |     |    |   |     |    |     |    |     |    |    |     |      2 |       |
    1 |   |    |   |    |   0 |    |   |     |    |     |    |     |    |    |     |        |       |
    2 |   |    |   |    |     |    |   |     |    |     |  3 |     |    |    |     |        |       |
    3 |   |    |   |    |     |    |   |     |    |     |    |     |    |    |   4 |        |       |
    4 |   |  5 |   |    |     |    |   |     |    |     |  6 |     |    |    |     |        |       |
    5 |   |    |   |    |     |    |   |     |    |     |    |     |    |    |     |        |     7 |
    6 |   |    |   |    |     |    |   |     |    |     |    |     |    |  8 |     |        |       |
    7 |   |    |   | 10 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
    8 |   |    |   |    |     | 12 |   |     |    |     |    |  13 |    |    |     |        |       |
    9 |   |    |   | 14 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
   10 |   |    |   |    |  -1 |    |   |     |    |     |    |     |    |    |     |        |       |
   11 |   |    |   |    |     |    |   |     |    |     |    |     |    | 15 |     |        |       |
   12 |   |    |   |    |     |    |   |     |    |     | 16 |     |    |    |     |        |       |
   13 |   |    |   |    |     |    |   |     | 17 |     |    |     |    |    |     |        |    -5 |
   14 |   |    |   |    |     |    |   |  18 |    |     |    |     |    |    |     |        |       |
   15 |   |    |   |    |     | 19 |   |     |    |     |    |  20 |    |    |     |        |       |
   16 |   |    |   |    |     | 21 |   |     |    |     |    |     |    |    |     |        |       |
   17 |   | 22 |   |    |     |    |   |     |    |     |  6 |     |    |    |     |        |       |
   18 |   |    |   |    |  -6 |    |   |  -6 |    |  23 |    |     | 24 |    |     |        |       |
   19 |   |    |   |    |     |    |   |     |    |     | 25 |     |    |    |     |        |       |
   20 |   |    |   |    | -14 |    |   | -14 |    |  26 |    |     | 27 |    |     |        |       |
   21 |   |    |   |    |     |    |   |     | 28 |     |    |     |    |    |     |        |    -4 |
   22 |   |    |   |    |     |    |   |     |    |     |    |     |    |    |     |        |    -3 |
   23 |   |    |   | 29 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
   24 |   |    |   | 30 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
   25 |   |    |   |    |     | 31 |   |     |    |     |    |     |    |    |     |        |       |
   26 |   |    |   | 32 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
   27 |   |    |   | 33 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
   28 |   | 34 |   |    |     |    |   |     |    |     |  6 |     |    |    |     |        |       |
   29 |   |    |   |    |  -7 |    |   |  -7 |    |     |    |     |    |    |     |        |       |
   30 |   |    |   |    |  -8 |    |   |  -8 |    |     |    |     |    |    |     |        |       |
   31 |   |    |   |    | -13 |    |   | -13 |    |  35 |    |     | 36 |    |     |        |       |
   32 |   |    |   |    | -11 |    |   | -11 |    |     |    |     |    |    |     |        |       |
   33 |   |    |   |    | -12 |    |   | -12 |    |     |    |     |    |    |     |        |       |
   34 |   |    |   |    |     |    |   |     |    |     |    |     |    |    |     |        |    -2 |
   35 |   |    |   | 37 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
   36 |   |    |   | 38 |     |    | 9 |     |    |     | 11 |     |    |    |     |        |       |
   37 |   |    |   |    |  -9 |    |   |  -9 |    |     |    |     |    |    |     |        |       |
   38 |   |    |   |    | -10 |    |   | -10 |    |     |    |     |    |    |     |        |       |
